equipment,location,loc_count
6105QC型,北京,1
6110型,北京,1
CA1092E运输车,北京,2
EQ1090E型汽车,北京,4
EQ1090型汽车,北京,56
EQ1090油罐车,北京,1
EQ1090运水车,湖北,1
EQ1090运水车,贵州,1
EQ1091型汽车,北京,9
EQ1092F1A型汽车,北京,1
EQ140型汽车,北京,1
EQ144型汽车,北京,1
EQ2080型汽车,北京,2
EQ2102型,北京,2
EQ2102型汽车,北京,1
EQ240巡逻车,北京,1
EQ240巡逻车,浙江,1
EQ240巡逻车箭炮车,浙江,1
EQ245牵引车,湖北,1
EQll08G6D型柴油车,北京,1
EQll08G型柴油车,北京,1
EQll08G型汽车,西藏,1
EQll08G型车,北京,1
EQll08型柴油汽车,北京,1
HY473（6×6）牵引车,云南,1
HY473（6×6）牵引车,北京,1
HY962半挂平板车,北京,1
HY962半挂平板车,哈尔滨,1
HY962半挂平板车,广州,1
WJ94装甲防暴,南京,1
WJ94装甲防暴,成都,1
WJ94装甲防暴,珠海,1
WJ94装甲防暴车,兰州,1
WJ94装甲防暴车,贵州,1
WJ94轮式装甲防暴车,北京,2
WJ94轮式装甲防暴车,广州,3
WJ94轮式装甲防暴车,贵州,1
WS-1B自行火箭炮,北京,1
WS-1B自行火箭炮车,贵州,2
WZ901保安车,保定,1
WZ901保安车,北京,1
WZ901保安车,天津,1
WZ901保安车,太原,2
WZ901保安车,沈阳,1
WZ901保安车,浙江,1
WZ901保安车,郑州,1
WZ901轮式装甲安全车,上海,1
WZ901轮式装甲安全车,南京,1
WZ901轮式装甲安全车,哈尔滨,1
WZ901轮式装甲安全车,沈阳,1
WZ901轮式装甲安全车,河北,2
WZ901轮式装甲安全车,长春,1
ZSL92式轮式步兵战车,乌鲁木齐,1
ZSL92式轮式步兵战车,北京,2
ZSL92式轮式步兵战车,南京,1
ZSL92式轮式步兵战车,石家庄,1
ZSL92式轮式步兵战车,苏州,1
ZSL92式轮式步兵战车,贵州,1
ZSL92式轮式步兵战车,长沙,1
一汽捷达,重庆,1
上汽奇瑞,上海,1
上海别克GL,哈尔滨,1
上海别克GL,河北,1
东风EQ1090E,东营,1
东风EQ1090E,南京,1
东风EQ1090E,扬州,1
东风EQ1090E,齐齐哈尔,1
东风EQ1091运输车,北京,1
东风EQ245,北京,1
东风勇士,北京,1
东风猛士,四川,2
东风猛士,河南,1
东风猛士,辽宁,1
